product_id,sku_id,referencia,ean,nombre,marca,descripcion,link_texto,url_producto,categoria_id,categoria_nombre,categoria_id_vtex,precio_normal,precio_oferta,precio_unitario,unidades_por_pack,descuento_pct,tiene_descuento,disponible,moneda,cuotas_max,cuota_valor,oferta_valida_hasta,promos_activas,colecciones,num_colecciones,imagen_url,fecha_extraccion
99922718,10012790,20146740,7750075022201,Acondicionador KATIVA Bálsamo de Keratina Frasco 1000ml,KATIVA,,acondicionador-kativa-balsamo-de-keratina-frasco-1000ml,https://www.makro.plazavea.com.pe/acondicionador-kativa-balsamo-de-keratina-frasco-1000ml/p,298,Cuidado del Cabello,309,53.9,53.9,53.9,1,,False,True,PEN,1.0,53.9,3000-01-02T05:00:00Z,MAKRO-Bi-Precio|Vigente Oculto | MAKRO-Bi-Precio|Vigente Oculto,Delivery Express | Colección FOOD Express | Vive el verano | Cuidado del cabello | Menú Verano | Menú Día del Padre | Shampoo y Acondicionador,8,https://plazavea.vteximg.com.br/arquivos/ids/25856062/20146740.jpg?v=638141188182400000,2026-05-04 09:40
77971,81261,20146622,7899026462533,Tinte para Cabello GARNIER Cor Intesa 1.0 Negro Intenso,GARNIER,,tinte-para-cabello-garnier-cor-intesa-1-0-negro-intenso,https://www.makro.plazavea.com.pe/tinte-para-cabello-garnier-cor-intesa-1-0-negro-intenso/p,298,Cuidado del Cabello,312,12.9,12.5,12.5,1,3.1,True,True,PEN,1.0,12.5,3000-01-02T05:00:00Z,,Colección FOOD Express | plazaVea | Cuidado Personal|L 01.05 al  03.05,2,https://plazavea.vteximg.com.br/arquivos/ids/413169/20146622.jpg?v=637365861375830000,2026-05-04 09:40
77884,81206,20146751,,Acondicionador KATIVA Aceite de Argán Frasco 1L,KATIVA,,acondicionador-kativa-aceite-de-argan-frasco-1l,https://www.makro.plazavea.com.pe/acondicionador-kativa-aceite-de-argan-frasco-1l/p,298,Cuidado del Cabello,309,53.9,53.9,53.9,1,,False,True,PEN,1.0,53.9,3000-01-02T05:00:00Z,,Delivery Express | Colección FOOD Express | Vive el verano | Cuidado del cabello | Menú Verano | Menú Día del Padre | Shampoo y Acondicionador,7,https://plazavea.vteximg.com.br/arquivos/ids/25856058/20146751.jpg?v=638141187978530000,2026-05-04 09:40
77883,81305,20146621,7899706130899,Tinte para Cabello GARNIER Cor Intesa 6.75 Chocolate Caoba,GARNIER,,tinte-para-cabello-garnier-cor-intesa-6-75-chocolate-caoba,https://www.makro.plazavea.com.pe/tinte-para-cabello-garnier-cor-intesa-6-75-chocolate-caoba/p,298,Cuidado del Cabello,312,12.9,12.5,12.5,1,3.1,True,True,PEN,1.0,12.5,3000-01-02T05:00:00Z,,Colección FOOD Express,1,https://plazavea.vteximg.com.br/arquivos/ids/413171/20146621.jpg?v=637365861471030000,2026-05-04 09:40
77762,81397,20146757,,Shampoo KATIVA Keratina Frasco 1L,KATIVA,,shampoo-kativa-keratina-frasco-1l,https://www.makro.plazavea.com.pe/shampoo-kativa-keratina-frasco-1l/p,298,Cuidado del Cabello,308,53.9,53.9,53.9,1,,False,True,PEN,1.0,53.9,3000-01-02T05:00:00Z,,Delivery Express | Colección FOOD Express | Vive el verano | Cuidado del cabello | Menú Verano | Menú Día del Padre | Shampoo y Acondicionador,7,https://plazavea.vteximg.com.br/arquivos/ids/25856064/20146757.jpg?v=638141188260570000,2026-05-04 09:40
77669,81242,20146620,7899026462601,Tinte para Cabello GARNIER Cor Intesa 5.0 Castaño Claro,GARNIER,,tinte-para-cabello-garnier-cor-intesa-5-0-castano-claro,https://www.makro.plazavea.com.pe/tinte-para-cabello-garnier-cor-intesa-5-0-castano-claro/p,298,Cuidado del Cabello,312,12.9,12.5,12.5,1,3.1,True,True,PEN,1.0,12.5,3000-01-02T05:00:00Z,,Colección FOOD Express | plazaVea | Cuidado Personal|L 01.05 al  03.05,2,https://plazavea.vteximg.com.br/arquivos/ids/413172/20146620.jpg?v=637365861507100000,2026-05-04 09:40
77297,80746,20191431,7500435145718,Crema para Peinar HERBAL ESSENCES Leche de Coco y Aloe Frasco 300ml,HERBAL ESSENCES,,crema-de-peinar-herbal-essences-coconut-milk-frasco-300ml,https://www.makro.plazavea.com.pe/crema-de-peinar-herbal-essences-coconut-milk-frasco-300ml/p,298,Cuidado del Cabello,1062,33.5,33.5,33.5,1,,False,True,PEN,1.0,33.5,3000-01-02T05:00:00Z,,Delivery Express | Colección FOOD Express | P&G | Lo Mejor en Cuidado Personal | Vive el verano | Cuidado del cabello | Menú Verano,5,https://plazavea.vteximg.com.br/arquivos/ids/30208456/20191431.jpg?v=638676876388230000,2026-05-04 09:40
77263,80785,20191320,7500435145411,Acondicionador HERBAL ESSENCES Chamomile Frasco 400ml,HERBAL ESSENCES,,acondicionador-herbal-essences-manzanilla-frasco-400ml,https://www.makro.plazavea.com.pe/acondicionador-herbal-essences-manzanilla-frasco-400ml/p,298,Cuidado del Cabello,309,33.5,33.5,33.5,1,,False,True,PEN,1.0,33.5,3000-01-02T05:00:00Z,,Delivery Express | Colección FOOD Express | P&G | Lo Mejor en Cuidado Personal | Vive el verano | Cuidado del cabello | Menú Verano,6,https://plazavea.vteximg.com.br/arquivos/ids/30208450/20191320.jpg?v=638676876292470000,2026-05-04 09:40
77254,80780,20191430,7500435145701,Crema para Peinar HERBAL ESSENCES Aceite de Argán de Marruecos y Aloe Frasco 300ml,HERBAL ESSENCES,,crema-de-peinar-herbal-essences-argan-oil-morocco-frasco-300ml,https://www.makro.plazavea.com.pe/crema-de-peinar-herbal-essences-argan-oil-morocco-frasco-300ml/p,298,Cuidado del Cabello,1062,33.5,33.5,33.5,1,,False,True,PEN,1.0,33.5,3000-01-02T05:00:00Z,,Colección FOOD Express | P&G | Lo Mejor en Cuidado Personal | Vive el verano | Agora Producción pendientes PlazaVea | Cuidado del cabello | Menú Verano,5,https://plazavea.vteximg.com.br/arquivos/ids/30208461/20191430.jpg?v=638762699628200000,2026-05-04 09:40
77218,80797,20191339,7500435145404,Shampoo HERBAL ESSENCES Bio:Renew Chamomile Frasco 400ml,HERBAL ESSENCES,,shampoo-herbal-essences-manzanilla-frasco-400ml,https://www.makro.plazavea.com.pe/shampoo-herbal-essences-manzanilla-frasco-400ml/p,298,Cuidado del Cabello,308,33.5,33.5,33.5,1,,False,True,PEN,1.0,33.5,3000-01-02T05:00:00Z,,Colección FOOD Express | P&G | Lo Mejor en Cuidado Personal | Vive el verano | Cuidado del cabello | Menú Verano | Menú Día del Padre | Shampoo y Acondicionador,7,https://plazavea.vteximg.com.br/arquivos/ids/30208466/20191339.jpg?v=638676876569400000,2026-05-04 09:40
