product_id,sku_id,referencia,ean,nombre,marca,descripcion,link_texto,url_producto,categoria_id,categoria_nombre,categoria_id_vtex,precio_normal,precio_oferta,precio_unitario,descuento_pct,tiene_descuento,disponible,moneda,colecciones,num_colecciones,imagen_url,fecha_extraccion,vendedor,precio_cmr,patrocinado
134805893,134805951,,,Fideos Ghajang Myun Nong Shim con Salsa de Soya Bolsa 140 g,NONG SHIM,Bolsa 140 g,https://www.tottus.com.pe/tottus-pe/articulo/134805893/fideos-ghajangmyun-con-salsa-de-soya-x-140-g/134805951,https://www.tottus.com.pe/tottus-pe/articulo/134805893/fideos-ghajangmyun-con-salsa-de-soya-x-140-g/134805951,CATG17609,Pastas Especiales,J0101011203,9.5,9.5,9.5,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/40365444_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
151743013,151743015,,,Spaghetti Konjac Zerocarbo Caja 270 g,ZERO CARBO,Caja 270 g,https://www.tottus.com.pe/tottus-pe/articulo/151743013/spaghetti-konjac-zerocarbo-caja-270-g/151743015,https://www.tottus.com.pe/tottus-pe/articulo/151743013/spaghetti-konjac-zerocarbo-caja-270-g/151743015,CATG17609,Pastas Especiales,J0101010802,14.4,14.4,14.4,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/43635471_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
151742959,151742961,,,Fetuccini Konjac Zerocarbo Caja 270 g,ZERO CARBO,Caja 270 g,https://www.tottus.com.pe/tottus-pe/articulo/151742959/fetuccini-konjac-zerocarbo-caja-270-g/151742961,https://www.tottus.com.pe/tottus-pe/articulo/151742959/fetuccini-konjac-zerocarbo-caja-270-g/151742961,CATG17609,Pastas Especiales,J0101010802,14.4,14.4,14.4,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/43635472_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
151743021,151743023,,,Noodles Konjac Zerocarbo Caja 270 g,ZERO CARBO,Caja 270 g,https://www.tottus.com.pe/tottus-pe/articulo/151743021/noodles-konjac-zerocarbo-caja-270-g/151743023,https://www.tottus.com.pe/tottus-pe/articulo/151743021/noodles-konjac-zerocarbo-caja-270-g/151743023,CATG17609,Pastas Especiales,J0101010802,14.4,14.4,14.4,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/43635473_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
151743017,151743018,,,Lasaña Konjac Zerocarbo Caja 270 g,ZERO CARBO,Caja 270 g,https://www.tottus.com.pe/tottus-pe/articulo/151743017/lasana-konjac-zerocarbo-caja-270-g/151743018,https://www.tottus.com.pe/tottus-pe/articulo/151743017/lasana-konjac-zerocarbo-caja-270-g/151743018,CATG17609,Pastas Especiales,J0101010802,14.4,14.4,14.4,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/43635474_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
121701055,121701056,,,Pasta Andina Animalitos Orgánica América Bolsa 227 g,AMERICA ORGANICA,Bolsa 227 g,https://www.tottus.com.pe/tottus-pe/articulo/121701055/pasta-andina-animalitos-organica-america-bolsa-227-g/121701056,https://www.tottus.com.pe/tottus-pe/articulo/121701055/pasta-andina-animalitos-organica-america-bolsa-227-g/121701056,CATG17609,Pastas Especiales,J0101010802,18.8,18.8,18.8,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/43113672_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
123542053,123542054,,,Lasagne Gialle Agnesi Caja 500 g,AGNESI,Caja 500 g,https://www.tottus.com.pe/tottus-pe/articulo/123542053/lasagne-gialle-agnesi-x-500-gr/123542054,https://www.tottus.com.pe/tottus-pe/articulo/123542053/lasagne-gialle-agnesi-x-500-gr/123542054,CATG17609,Pastas Especiales,J0101010802,29.9,26.3,26.3,12.0,True,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/10173533_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
119706307,119706308,,,Spaghetti Libre de Gluten Barilla Empaque 400 g,BARILLA,Empaque 400 g,https://www.tottus.com.pe/tottus-pe/articulo/119706307/spaghetti-libre-de-gluten-barilla-empaque-400-g/119706308,https://www.tottus.com.pe/tottus-pe/articulo/119706307/spaghetti-libre-de-gluten-barilla-empaque-400-g/119706308,CATG17609,Pastas Especiales,J0101010802,21.9,21.9,21.9,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/41668244_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
113715163,113715164,,,Fetuccini Molinos del Mundo Arroz y Yuca Sin Gluten Empaque 400 g,MOLINOS DEL MUNDO,Empaque 400 g,https://www.tottus.com.pe/tottus-pe/articulo/113715163/fetuccini-arroz-y-yuca-sin-gluten-400-g/113715164,https://www.tottus.com.pe/tottus-pe/articulo/113715163/fetuccini-arroz-y-yuca-sin-gluten-400-g/113715164,CATG17609,Pastas Especiales,J0101010802,21.5,20.0,20.0,7.0,True,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/41409620_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
113708252,113708253,,,Pasta para Lasaña Agnesi Caja 500 g,AGNESI,Caja 500 g,https://www.tottus.com.pe/tottus-pe/articulo/113708252/pasta-para-lasana-agnesi-caja-500-g/113708253,https://www.tottus.com.pe/tottus-pe/articulo/113708252/pasta-para-lasana-agnesi-caja-500-g/113708253,CATG17609,Pastas Especiales,J0101010802,19.91,19.91,19.91,,False,True,PEN,,0,"https://media.tottus.com.pe/tottusPE/10173441_1/width=240,height=240,quality=70,format=webp,fit=pad",2026-05-03 20:30,Por TOTTUS,,False
